Loys	NOMpro	Loeïs
du	PRE.DETdef	de.le
Daulphiné	NOMpro	Dauphine
,	PONfbl	,
et	CONcoo	et
tirer	VERinf	tirer
devers	PRE	devers
nostre	DETpos	notre
trés	NOMcom	tref
chier	ADJqua	chier
et	CONcoo	et
amé	VERppe	aimer
cousin	NOMcom	cousin
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Dunois	NOMpro	Donnois
,	PONfbl	,
pour	PRE	pour
l'	DETdef	le
execucion	NOMcom	exécution
d'	PRE	de
aucunes	DETind	aucun
entreprinses	NOMcom	entreprise
qu'	PROrel	que
il	PROper	il
a	VERcjg	avoir
faictes	VERppe	faire
pour	PRE	pour
le	DETdef	le
bien	NOMcom	bien
de	PRE	de
nous	PROper	nous
et	CONcoo	et
de	PRE	de
noz	DETpos	notre
royaume	NOMcom	royaume
et	CONcoo	et
seigneuries	NOMcom	seigneurie
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROimp	il
est	VERcjg	estre
besoing	NOMcom	besoing
que	CONsub	que
lesdictes	DETcom	ledit
gens	NOMcom	gens
de	PRE	de
guerre	NOMcom	guerre
s'	PROper	soi
en	PROadv	en
voisent	VERcjg	aler
devers	PRE	devers
nostre	DETpos	notre
dit	VERppe	dire
cousin	NOMcom	cousin
le	DETdef	le
plus	ADVgen	plus
diligemment	ADVgen	diligemment
que	PROrel	que
possible	ADJqua	possible
sera	VERcjg	estre
,	PONfbl	,
par	PRE	par
quoy	PROrel	quoi
ladicte	DETcom	ladit
somme	NOMcom	somme
ne	ADVneg	ne
pourroit	VERcjg	pouvoir
estre	VERinf	estre
levée	VERppe	lever
avant	PRE	avant
leur	DETpos	leur
partement	NOMcom	partement
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
prions	VERcjg	prier
bien	ADVgen	bien
affectueusement	ADVgen	affectusement
que	CONsub	que
vous	PROper	vous
trouviez	VERcjg	trouver
moien	ADJpos	mon
d'	PRE	de
avancer	VERinf	avancer
icelle	DETdem	cil
somme	NOMcom	somme
de	PRE	de
III	DETcar	trois
m	DETcar	mil
VII	DETcar	set
c	DETcar	cent
L	DETcar	cinquante
livres	NOMcom	livre
tournois	ADJqua	tournois
.	PONfrt	.

Et	CONcoo	et
la	ADVgen	là
faites	VERcjg	faire
bailler	VERinf	bailler
à	PRE	à
nostre	DETpos	notre
amé	NOMcom	ame
et	CONcoo	et
feal	ADJqua	féal
conseillier	VERinf	conseillier
et	CONcoo	et
tresorier	VERinf	trésorier
general	ADJqua	général
de	PRE	de
nostre	DETpos	notre
dit	VERppe	dire
païs	NOMcom	päis
du	PRE.DETdef	de.le
Daulphiné	NOMpro	Dauphine
,	PONfbl	,
Glaude	ADJqua	glaut
Cot	NOMpro	Cot
,	PONfbl	,
lequel	PROrel	lequel
vous	PROper	vous
baillera	VERcjg	baillier
l'	DETdef	le
assignacion	NOMcom	assignation
d'	PRE	de
icelle	DETdem	cil
somme	NOMcom	somme
,	PONfbl	,
ainsi	ADVgen	ainsi
assise	VERppe	assëoir
ou	PROrel	où
dit	VERppe	dire
païs	NOMcom	päis
,	PONfbl	,
laquelle	PROrel	lequel
vous	PROper	vous
pourrez	VERcjg	pouvoir
avoir	VERinf	avoir
et	CONcoo	et
recouvrer	VERinf	recouvrer
dedens	PRE	dedans
ung	DETndf	un
mois	NOMcom	mois
après	PRE	après
ladicte	DETcom	ladit
assiete	NOMcom	assiéte
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
ce	PROdem	ce
ne	ADVneg	ne
nous	PROper	nous
vueillez	VERcjg	vouloir
faillir	VERinf	falir
,	PONfbl	,
et	CONcoo	et
vous	PROper	vous
nous	PROper	nous
ferez	VERcjg	faire
trés	ADVgen	très
singulier	VERinf	signolir
et	CONcoo	et
agreable	ADJqua	agréable
plaisir	VERinf	plaisir
.	PONfrt	.

Donné	VERppe	donner
à	PRE	à
Montlehery	NOMpro	Montlehéry
,	PONfbl	,
le	DETdef	le
XIX	ADJcar	vingt-neuf
me	DETpos	mon
jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
.	PONfrt	.

Loys	NOMpro	Loeïs
.	PONfrt	.

Bourré	NOMpro	Bourré
.	PONfrt	.

A	PRE	a
nos	DETpos	notre
chiers	ADJqua	chier
et	CONcoo	et
bien	ADVgen	bien
amez	VERcjg	amer
les	DETdef	le
bourgois	NOMcom	bourgeois
,	PONfbl	,
consulz	NOMcom	conseil
et	CONcoo	et
habitans	NOMcom	habitant
de	PRE	de
la	DETdef	le
ville	NOMcom	ville
de	PRE	de
Lyon	NOMpro	Lyon
.	PONfrt	.

Mon	DETpos	mon
bon	ADJqua	bon
compere	NOMcom	comparer
,	PONfbl	,
j'	PROper	je
ay	VERcjg	avoir
receu	VERppe	recevoir
les	DETdef	le
lettres	NOMcom	lettre
que	PROrel	que
vous	PROper	vous
m'	PROper	je
avez	VERcjg	avoir
escriptes	VERppe	écrire
par	PRE	par
François	NOMpro	Français
de	PRE	de
Tiercent	NOMpro	Tercent
,	PONfbl	,
dont	PROrel	dont
je	PROper	je
vous	PROper	vous
remercie	VERcjg	remercïer
.	PONfrt	.

J'	PROper	je
envoye	VERcjg	envoyer
Bourré	NOMpro	Bourré
devers	PRE	devers
vous	PROper	vous
,	PONfbl	,
lequel	PROrel	lequel
je	PROper	je
vous	PROper	vous
pry	VERcjg	prier
que	CONsub	que
veulliez	VERcjg	voloir
croyre	VERinf	croire
.	PONfrt	.

Vous	PROper	vous
ne	ADVneg	ne
m'	PROper	je
avez	VERcjg	avoir
pas	ADVneg	pas
fait	VERppe	faire
grant	ADJqua	grant
responce	NOMcom	responce
sur	PRE	sur
les	DETdef	le
lettres	NOMcom	lettre
que	PROrel	que
je	PROper	je
vous	PROper	vous
avoye	VERcjg	avoir
envoyées	VERppe	envoyer
pieça	ADVgen	piéça
;	PONfbl	;
toutevoies	ADVgen	toutevoie
,	PONfbl	,
je	PROper	je
vous	PROper	vous
pry	VERcjg	prier
que	CONsub	que
par	PRE	par
cestuy	PROdem	cest
cy	ADVgen	ci
me	PROper	je
veillez	VERcjg	veillier
faire	VERinf	faire
savoir	VERinf	savoir
ce	PROdem	ce
qu'	PROrel	que
il	PROimp	il
vous	PROper	vous
en	PROadv	en
semble	VERcjg	sembler
.	PONfrt	.

Il	PROimp	il
est	VERcjg	estre
avenu	VERppe	avenir
une	DETndf	un
grant	ADJqua	grant
nouvelleté	NOMcom	nouvelleté
en	PRE	en
Bretaigne	NOMpro	Bretaingne
sur	PRE	sur
les	DETdef	le
amis	NOMcom	ami
de	PRE	de
monseigneur	NOMcom	monseigneur
de	PRE	de
Montauban	NOMpro	Montauban
.	PONfrt	.

Je	PROper	je
croy	VERcjg	croire
que	CONsub	que
Dieu	NOMpro	Dieu
le	PROper	il
fait	VERcjg	faire
pour	PRE	pour
le	DETdef	le
mieulx	NOMcom	mieux
et	CONcoo	et
pour	PRE	pour
nous	PROper	nous
resourdre	VERinf	ressourdre
touz	PROind	tous
à	PRE	à
ung	DETndf	un
coup	NOMcom	coup
.	PONfrt	.

J'	PROper	je
ay	VERcjg	avoir
eu	VERppe	avoir
ce	DETdem	ce
matin	NOMcom	matin
des	PRE.DETdef	de.le
nouvelles	NOMcom	nouvelle
que	CONsub	que
Jacques	NOMpro	Jacques
ceva	VERcjg	cevoir
Mon	DETpos	mon
bon	ADJqua	bon
compere	NOMcom	comparer
,	PONfbl	,
je	PROper	je
prye	VERcjg	prier
à	PRE	à
Dieu	NOMpro	Dieu
qu'	CONsub	que
il	PROper	il
vous	PROper	vous
ce	PROdem	ce
que	PROrel	que
desirez	VERcjg	désirer
.	PONfrt	.

Escript	VERcjg	écrire
.	PONfrt	.

Je	PROper	je
vous	PROper	vous
envoye	VERcjg	envoyer
les	DETdef	le
lettres	NOMcom	lettre
que	PROrel	que
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Montmairunt	NOMpro	Montmairon
?	PONfrt	?

m'	PROper	je
a	VERcjg	avoir
escriptes	VERppe	écrire
.	PONfrt	.

Je	PROper	je
vous	PROper	vous
pry	VERcjg	prier
que	CONsub	que
vous	PROper	vous
veillez	VERcjg	veillier
tenir	VERinf	tenir
la	DETdef	le
main	NOMcom	main
faire	VERinf	faire
pour	PRE	pour
luy	PROper	lui
ce	PROdem	ce
que	PROrel	que
vous	PROper	vous
sera	VERcjg	estre
possible	ADJqua	possible
.	PONfrt	.

Loys	NOMpro	Loeïs
,	PONfbl	,
par	PRE	par
la	DETdef	le
grace	NOMcom	grâce
de	PRE	de
Dieu	NOMpro	Dieu
,	PONfbl	,
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
.	PONfrt	.

Trés	ADVgen	très
chier	ADJqua	chier
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
,	PONfbl	,
il	PROimp	il
est	VERcjg	estre
venu	VERppe	venir
à	PRE	à
nostre	DETpos	notre
congnoissance	NOMcom	connaissance
que	CONsub	que
nostre	DETpos	notre
bien	ADVgen	bien
amé	VERppe	aimer
Pierre	NOMpro	Pierre
Vignoles	NOMcom	vignole
,	PONfbl	,
escuier	NOMcom	escuier
et	CONcoo	et
homme	NOMcom	homme
d'	PRE	de
armes	NOMcom	arme
de	PRE	de
nostre	DETpos	notre
ordonnance	NOMcom	ordonnance
en	PRE	en
la	DETdef	le
compaignie	NOMcom	compagnie
du	PRE.DETdef	de.le
seigneur	NOMcom	seigneur
de	PRE	de
Candalle	NOMpro	Candalle
,	PONfbl	,
a	PRE	a
certain	ADJqua	certain
procès	NOMcom	processe
pardevant	VERppa	perdevoir
l'	DETdef	le
archevesque	NOMcom	archevêque
de	PRE	de
Millan	NOMpro	Millan
,	PONfbl	,
à	PRE	à
l'	DETdef	le
occasion	NOMcom	occasion
d'	PRE	de
aucune	DETind	aucun
obligacion	NOMcom	obligation
ou	PRE.DETdef	en.le
fiancement	NOMcom	fiancement
que	PROrel	que
l'	DETdef	le
on	PROind	on
dit	VERcjg	dire
lui	PROper	il
avoir	VERinf	avoir
faicte	VERppe	faire
pour	PRE	pour
et	CONcoo	et
en	PRE	en
la	DETdef	le
faveur	NOMcom	faveur
de	PRE	de
ung	DETndf	un
nommé	VERppe	nommer
Jacques	NOMpro	Jacques
Villecte	NOMpro	Villette
,	PONfbl	,
chanctre	NOMcom	chanctre
et	CONcoo	et
serviteur	NOMcom	serviteur
de	PRE	de
feu	NOMcom	feu
nostre	DETpos	notre
trés	NOMcom	tref
chier	ADJqua	chier
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
pere	NOMcom	père
et	CONcoo	et
cousin	NOMcom	cousin
,	PONfbl	,
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Savoie	NOMpro	savoir
,	PONfbl	,
que	PROrel	que
Dieu	NOMpro	Dieu
absoille	VERcjg	absoudre
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
nous	PROper	nous
vouldrions	VERcjg	vouloir
avoir	VERinf	avoir
le	DETdef	le
bon	ADJqua	bon
droit	NOMcom	droit
dudit	PRE.DETcom	de.ledit
Pierre	NOMpro	Pierre
pour	PRE	pour
recommandé	VERppe	recommander
,	PONfbl	,
tant	ADVgen	tant
pour	PRE	pour
les	DETdef	le
bons	ADJqua	bon
et	CONcoo	et
agreables	ADJqua	agréable
services	NOMcom	service
qu'	PROrel	que
il	PROper	il
nous	PROper	nous
a	VERcjg	avoir
faiz	VERppe	faire
et	CONcoo	et
qu'	CONsub	que
il	PROper	il
nous	PROper	nous
fait	VERcjg	faire
continuellement	ADVgen	continuellement
,	PONfbl	,
et	CONcoo	et
aussi	ADVgen	aussi
que	CONsub	que
esperons	NOMcom	esperon
qu'	CONsub	que
il	PROimp	il
nous	PROper	nous
face	VERcjg	faire
en	PRE	en
temps	NOMcom	temps
avenir	VERinf	avenir
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
prions	VERcjg	prier
bien	ADVgen	bien
affectueusement	ADVgen	affectusement
que	CONsub	que
vueillez	VERcjg	vouloir
tenir	VERinf	tenir
ou	CONcoo	o
faire	VERinf	faire
tenir	VERinf	tenir
la	DETdef	le
main	NOMcom	main
devers	PRE	devers
ledit	DETcom	ledit
archevesque	NOMcom	archevêque
en	PRE	en
maniere	NOMcom	manière
que	PROrel	que
le	DETdef	le
bon	ADJqua	bon
droit	NOMcom	droit
de	PRE	de
nostre	DETpos	notre
dit	VERppe	dire
serviteur	NOMcom	serviteur
lui	PROper	il
soit	VERcjg	estre
gardé	VERppe	garder
.	PONfrt	.

Et	CONcoo	et
au	PRE.DETdef	a
seurplus	NOMcom	surplus
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
pour	PRE	pour
ceste	DETdem	cest
cause	NOMcom	cause
lui	PROper	il
avons	VERcjg	avoir
donné	VERppe	donner
congié	NOMcom	congié
pour	PRE	pour
certain	DETind	certain
temps	NOMcom	temps
aler	VERinf	aler
par	PRE	par
devers	PRE	devers
vous	PROper	vous
,	PONfbl	,
le	PROper	il
vueillez	VERcjg	vouloir
faire	VERinf	faire
expedier	VERinf	expérir
tellement	ADVgen	tellement
que	CONsub	que
il	PROper	il
puist	VERcjg	pouvoir
brief	ADVgen	bref
retourner	VERinf	retourner
pardevers	PRE	pardevers
nous	PROper	nous
,	PONfbl	,
et	CONcoo	et
en	PRE	en
ce	PROdem	ce
faisant	VERppa	faire
,	PONfbl	,
nous	PROper	nous
ferez	VERcjg	faire
trés	ADVgen	très
singulier	VERinf	signolir
et	CONcoo	et
agreable	ADJqua	agréable
plaisir	VERinf	plaisir
.	PONfrt	.

Donné	VERppe	donner
à	PRE	à
Tours	NOMpro	Tours
,	PONfbl	,
le	DETdef	le
XXIIII	PROcar	vingt-quatre
e	CONcoo	et
jour	NOMcom	jour
d'	PRE	de
avril	NOMcom	avril
.	PONfrt	.

Loys	NOMpro	Loeïs
.	PONfrt	.

Toustain	NOMcom	toutain
.	PONfrt	.

A	PRE	a
nostre	DETpos	notre
trés	NOMcom	tref
chier	ADJqua	chier
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
et	CONcoo	et
cousin	NOMcom	cousin
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Millan	NOMpro	Millan
.	PONfrt	.

Loys	NOMpro	Loeïs
,	PONfbl	,
par	PRE	par
la	DETdef	le
grace	NOMcom	grâce
de	PRE	de
Dieu	NOMpro	Dieu
,	PONfbl	,
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
.	PONfrt	.

Trés	ADVgen	très
chier	ADJqua	chier
et	CONcoo	et
très	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
.	PONfrt	.

Nous	PROper	nous
envoyons	VERcjg	envoyer
presentement	ADVgen	présentement
par	PRE	par
devers	PRE	devers
vous	PROper	vous
nostre	DETpos	notre
cher	NOMcom	cher
et	CONcoo	et
bien	ADVgen	bien
amé	VERppe	aimer
Francequin	NOMpro	Francequin
Norry	NOMpro	Norry
,	PONfbl	,
pour	PRE	pour
vous	PROper	vous
dire	VERinf	dire
aucunes	DETind	aucun
choses	NOMcom	chose
dont	PROrel	dont
lui	PROper	il
avons	VERcjg	avoir
baillé	VERppe	bailler
charge	NOMcom	charge
.	PONfrt	.

Si	ADVgen	si
vous	PROper	vous
prions	VERcjg	prier
que	CONsub	que
les	PROper	il
vueillez	VERcjg	vouloir
oir	NOMcom	hoir
et	CONcoo	et
adjouster	VERinf	adjouter
plaine	ADJqua	plein
foy	NOMcom	foi
à	PRE	à
tout	DETind	tout
ce	PROdem	ce
qu'	PROrel	que
il	PROper	il
vous	PROper	vous
dira	VERcjg	dire
de	PRE	de
par	PRE	par
nous	PROper	nous
.	PONfrt	.

Donné	VERppe	donner
à	PRE	à
Aygueparse	NOMpro	Aiguepse
,	PONfbl	,
le	DETdef	le
XXIX	PROcar	vingt-et-un
e	CONcoo	et
jour	NOMcom	jour
de	PRE	de
juing	NOMcom	jüin
.	PONfrt	.

Loys	NOMpro	Loeïs
.	PONfrt	.

Bourré	NOMpro	Bourré
.	PONfrt	.

A	PRE	a
nostre	DETpos	notre
trés	NOMcom	tref
cher	ADJqua	cher
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Millan	NOMpro	Millan
.	PONfrt	.

De	PRE	de
par	PRE	par
le	DETdef	le
roy	NOMcom	roi
.	PONfrt	.

Chiers	ADJqua	cher
et	CONcoo	et
bien	ADVgen	bien
amez	VERppe	amer
,	PONfbl	,
nous	PROper	nous
pensons	VERcjg	penser
que	CONsub	que
avez	VERcjg	avoir
bien	ADVgen	bien
sceu	VERppe	savoir
la	DETdef	le
rencontre	NOMcom	rencontre
qui	PROrel	que
a	VERcjg	avoir
esté	VERppe	être
entre	PRE	entre
nous	PROper	nous
et	CONcoo	et
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Charrolois	NOMpro	Charrolois
,	PONfbl	,
le	DETdef	le
mardy	NOMcom	mardi
XVI	PROcar	seize
e	CONcoo	et
jour	NOMcom	jour
de	PRE	de
ce	DETdem	ce
present	ADJqua	présent
mois	NOMcom	mois
de	PRE	de
juillet	NOMcom	juilet
,	PONfbl	,
près	PRE	près
la	DETdef	le
ville	NOMcom	ville
et	CONcoo	et
chastel	NOMcom	chastel
de	PRE	de
Montlehery	NOMpro	Montlehéry
,	PONfbl	,
en	PRE	en
laquelle	PROrel	lequel
,	PONfbl	,
graces	NOMcom	grâce
à	PRE	à
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
,	PONfbl	,
avons	VERcjg	avoir
obtenu	VERppe	obtenir
la	DETdef	le
victoire	NOMcom	victoire
.	PONfrt	.

Car	CONcoo	car
de	PRE	de
la	DETdef	le
part	NOMcom	part
dudit	PRE.DETcom	de.ledit
de	PRE	de
Charrolois	NOMpro	Charrolois
ont	VERcjg	avoir
esté	VERppe	être
tuez	VERppe	tuer
de	PRE	de
XIIII	DETcar	quatorze
à	PRE	à
XV	DETcar	quinze
c	DETcar	cent
hommes	NOMcom	homme
,	PONfbl	,
et	CONcoo	et
prins	VERppe	prendre
de	PRE	de
III	DETcar	trois
à	PRE	à
IIII	DETcar	quatre
c	DETcar	cent
prisonniers	NOMcom	prisonnier
,	PONfbl	,
et	CONcoo	et
de	PRE	de
la	DETdef	le
nostre	PROpos	nostre
n'	ADVneg	ne
a	VERcjg	avoir
pas	ADVneg	pas
eu	VERppe	avoir
la	DETdef	le
X	ADJcar	dix
me	DETpos	mon
partie	NOMcom	partie
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
demeurasmes	VERcjg	demeurer
les	DETdef	le
derreniers	NOMcom	derranier
en	PRE	en
champ	NOMcom	champ
,	PONfbl	,
et	CONcoo	et
la	DETdef	le
place	NOMcom	place
est	VERcjg	estre
demeurée	VERppe	demeurer
en	PRE	en
nostre	DETpos	notre
obeissance	NOMcom	obéissance
.	PONfrt	.

Et	CONcoo	et
oultre	ADVgen	outre
plus	ADVgen	plus
,	PONfbl	,
depuis	PRE	depuis
ladicte	DETcom	ladit
desconfiture	NOMcom	déconfiture
,	PONfbl	,
ont	VERcjg	avoir
esté	VERppe	être
que	CONsub	que
prins	VERppe	prendre
que	CONsub	que
tuez	VERcjg	tüer
plus	ADVgen	plus
de	PRE	de
II	DETcar	deux
m	DETpos	mon
Bourguignons	NOMpro	Bourguignon
qui	PROrel	que
s'	PROper	soi
en	PROadv	en
estoient	VERcjg	être
fouyz	VERppe	fuir
de	PRE	de
ladicte	DETcom	ladit
rencontre	NOMcom	rencontre
.	PONfrt	.

Et	CONcoo	et
après	PRE	après
nous	PROper	nous
sommes	VERcjg	être
retirez	VERppe	retirer
en	PRE	en
ceste	DETdem	cest
nostre	ADJpos	notre
bonne	ADJqua	bon
ville	NOMcom	ville
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
là	ADVgen	là
où	PROrel	où
la	DETdef	le
pluspart	NOMcom	plospard
de	PRE	de
tous	DETind	tous
noz	DETpos	notre
gens	NOMcom	gens
d'	PRE	de
armes	NOMcom	arme
et	CONcoo	et
de	PRE	de
noz	DETpos	notre
chiefz	NOMcom	chef
de	PRE	de
guerre	NOMcom	guerre
se	PROper	soi
sont	VERcjg	estre
trouvez	VERppe	trouver
par	PRE	par
devers	PRE	devers
nous	PROper	nous
,	PONfbl	,
et	CONcoo	et
aussi	ADVgen	aussi
ledit	DETcom	ledit
de	PRE	de
Charroloys	NOMpro	Charrelois
s'	PROper	soi
est	VERcjg	estre
retiré	VERppe	retirer
vers	PRE	vers
la	DETdef	le
Beausse	NOMpro	Beauce
pour	PRE	pour
se	PROper	soi
joindre	VERinf	joindre
à	PRE	à
nostre	DETpos	notre
frere	NOMcom	frère
de	PRE	de
Berry	NOMpro	Berry
et	CONcoo	et
aux	PRE.DETdef	à.le
Bretons	NOMpro	breton
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
nous	PROper	nous
a	VERcjg	avoir
esté	VERppe	être
rapporté	VERppe	rapporter
que	CONsub	que
lesdiz	DETcom	ledit
Bourguignons	NOMpro	Bourguignon
et	CONcoo	et
Bretons	NOMpro	breton
ou	CONcoo	o
aucune	DETind	aucun
partie	NOMcom	partie
d'	PRE	de
iceulx	PROdem	cil
sont	VERcjg	estre
disposez	VERppe	disposer
tirer	VERinf	tirer
vers	PRE	vers
les	DETdef	le
marches	NOMcom	marche
de	PRE	de
Normendie	NOMpro	Normandie
et	CONcoo	et
de	PRE	de
la	DETdef	le
riviere	NOMcom	riviere
de	PRE	de
Saine	NOMpro	Seine
,	PONfbl	,
et	CONcoo	et
eulx	PROper	eux
efforcer	VERinf	efforcer
de	PRE	de
prendre	VERinf	prendre
et	CONcoo	et
avoir	VERinf	avoir
aucunes	DETind	aucun
places	NOMcom	place
et	CONcoo	et
villes	NOMcom	ville
sur	PRE	sur
ladicte	DETcom	ladit
riviere	NOMcom	riviere
de	PRE	de
Saine	NOMpro	Seine
et	CONcoo	et
oudit	PRE.DETcom	en.ledit
pays	NOMcom	pays
de	PRE	de
Normendie	NOMpro	Normandie
,	PONfbl	,
nous	PROper	nous
avons	VERcjg	avoir
adverty	VERppe	advertir
les	DETdef	le
gens	NOMcom	gens
des	PRE.DETdef	de.le
bonnes	ADJqua	bon
villes	NOMcom	ville
dessus	PRE	dessus
ladicte	DETcom	ladit
riviere	NOMcom	riviere
de	PRE	de
Saine	NOMpro	Seine
et	CONcoo	et
aussi	ADVgen	aussi
de	PRE	de
nostre	DETpos	notre
pays	NOMcom	pays
de	PRE	de
Normendie	NOMpro	Normandie
et	CONcoo	et
du	PRE.DETdef	de.le
Chartrain	NOMpro	Chartres
des	PRE.DETdef	de.le
choses	NOMcom	chose
dessusdictes	ADJqua	dessusdit
,	PONfbl	,
pour	PRE	pour
pourveoir	VERinf	pourvëoir
à	PRE	à
la	DETdef	le
seurté	NOMcom	sëurté
de	PRE	de
leurs	DETpos	leur
villes	NOMcom	ville
et	CONcoo	et
faire	VERinf	faire
resistance	NOMcom	resistance
ausdiz	PRE.DETcom	à.ledit
adversaires	ADJqua	adversaire
et	CONcoo	et
desobeyssans	VERppa	désoubissant
en	PRE	en
tout	DETind	tout
ce	PROdem	ce
que	PROrel	que
possible	ADJqua	possible
leur	PROper	leur
sera	VERcjg	estre
.	PONfrt	.

Et	CONcoo	et
pareillement	ADVgen	pareillement
avons	VERcjg	avoir
disposé	VERppe	disposer
vous	PROper	vous
en	PROadv	en
advertir	VERinf	advertir
,	PONfbl	,
afin	ADVgen	afin
que	CONsub	que
de	PRE	de
vostre	DETpos	vostre
part	NOMcom	part
vous	PROper	vous
faciez	VERcjg	faire
le	DETdef	le
semblable	NOMcom	semblable
.	PONfrt	.

Et	CONcoo	et
au	PRE.DETdef	a
regard	NOMcom	regard
de	PRE	de
nous	PROper	nous
,	PONfbl	,
nous	PROper	nous
sommes	VERcjg	être
disposez	VERppe	disposer
de	PRE	de
nous	PROper	nous
mectre	VERinf	mettre
sur	PRE	sur
les	DETdef	le
champs	NOMcom	champ
pour	PRE	pour
resister	VERinf	resister
à	PRE	à
l'	DETdef	le
entreprinse	NOMcom	entreprise
desdiz	PRE.DETcom	de.ledit
Bretons	NOMpro	breton
et	CONcoo	et
Bourguignons	NOMpro	Bourguignon
,	PONfbl	,
et	CONcoo	et
tant	ADVgen	tant
à	PRE	à
vous	PROper	vous
,	PONfbl	,
comme	CONsub	comme
à	PRE	à
noz	DETpos	notre
autres	ADJind	autre
bons	ADJqua	bon
et	CONcoo	et
loyaulx	ADJqua	loyal
subgectz	NOMcom	sujét
donner	VERinf	donner
tout	DETind	tout
l'	DETdef	le
ayde	NOMcom	aide
et	CONcoo	et
confort	VERcjg	conforter
qu'	CONsub	que
il	PROimp	il
sera	VERcjg	estre
possible	ADJqua	possible
,	PONfbl	,
tellement	ADVgen	tellement
qu'	CONsub	que
au	PRE.DETdef	a
plaisir	NOMcom	plaisir
Dieu	NOMpro	Dieu
nul	DETind	nul
inconvenient	NOMcom	inconvenient
n'	ADVneg	ne
en	PROadv	en
adviendra	VERcjg	advenir
.	PONfrt	.

Pourquoy	ADVint	pourquoi
en	PRE	en
acquictant	VERppa	accuittier
vostre	DETpos	vostre
loyaulté	NOMcom	loyauté
,	PONfbl	,
ainsi	ADVgen	ainsi
que	CONsub	que
jusques	PRE	jusque
cy	ADVgen	ci
avez	VERcjg	avoir
fait	VERppe	faire
,	PONfbl	,
continuez	VERppe	continuer
et	CONcoo	et
perseverez	VERppe	persévérer
en	PRE	en
vostre	DETpos	vostre
bon	ADJqua	bon
vouloir	NOMcom	vouloir
envers	PRE	envers
nous	PROper	nous
,	PONfbl	,
en	PRE	en
faisant	VERppa	faire
toute	DETind	tout
resistance	NOMcom	resistance
contre	PRE	contre
nosdiz	NOMcom	nosdit
adversaires	ADJqua	adversaire
et	CONcoo	et
desobeyssans	VERppa	désoubissant
,	PONfbl	,
et	CONcoo	et
vous	PROper	vous
maintenant	ADVgen	maintenant
et	CONcoo	et
entretenant	VERppa	entretenir
en	PRE	en
nostre	DETpos	notre
obeissance	NOMcom	obéissance
,	PONfbl	,
comme	CONsub	comme
bons	ADJqua	bon
et	CONcoo	et
loyaulx	ADJqua	loyal
subgez	NOMcom	suget
doivent	VERcjg	devoir
envers	PRE	envers
leur	DETpos	leur
roy	NOMcom	roi
et	CONcoo	et
souverain	ADJqua	souverain
seigneur	NOMcom	seigneur
,	PONfbl	,
ainsi	ADVgen	ainsi
que	CONsub	que
en	PRE	en
vous	PROper	vous
en	PROadv	en
avons	VERcjg	avoir
nostre	DETpos	notre
confiance	NOMcom	confïance
.	PONfrt	.

Donné	VERppe	donner
à	PRE	à
Paris	NOMpro	Paris
,	PONfbl	,
le	DETdef	le
XXIII	ADJcar	vingt-trois
e	CONcoo	et
jour	NOMcom	jour
de	PRE	de
juillet	NOMcom	juilet
.	PONfrt	.

Loys	NOMpro	Loeïs
.	PONfrt	.

Le	DETdef	le
Prevost	NOMcom	prévôt
.	PONfrt	.

A	PRE	a
noz	DETpos	notre
chiers	NOMcom	chier
et	CONcoo	et
bien	ADVgen	bien
amez	VERppe	amer
les	DETdef	le
bourgois	NOMcom	bourgeois
et	CONcoo	et
habitans	VERppa	habiter
de	PRE	de
la	DETdef	le
ville	NOMcom	ville
de	PRE	de
Beauvais	NOMpro	Beauvais
.	PONfrt	.

