Cy	ADVgen	ci
la	DETdef	le
place	NOMcom	place
ou	PROrel	où
Nostre	DETpos	notre
Dame	NOMcom	dame
cheit	VERcjg	choir
pasmée	VERppe	pasmer
quant	CONsub	cant
elle	PROper	elle
vit	VERcjg	vëoir
son	DETpos	son
chier	ADJqua	chier
filz	NOMcom	fil
crucifier	VERinf	crucifier
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
la	DETdef	le
dite	VERppe	dire
rue	NOMcom	rue
,	PONfbl	,
a	PRE	a
la	DETdef	le
senestre	ADJqua	senestre
partie	NOMcom	partie
,	PONfbl	,
est	VERcjg	estre
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
Pilate	NOMpro	Pilate
ou	PROrel	où
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
fut	VERcjg	être
faulcement	ADVgen	faucement
accusés	VERppe	accuser
et	CONcoo	et
a	PRE	a
mort	NOMcom	mort
jugés	VERppe	juger
;	PONfbl	;
en	PRE	en
icelle	DETdem	cil
maison	NOMcom	maison
n'	ADVneg	ne
entre	VERcjg	entrer
nulz	DETind	nul
chrestiens	ADJqua	chrétien
pelerins	NOMcom	pèlerin
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
l'	DETdef	le
entrée	NOMcom	entrée
dudist	PRE.DETcom	de.ledit
hostel	NOMcom	hôtel
murée	VERppe	murer
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
alant	VERppa	aller
tousjours	ADVgen	toujours
amonlt	ADVgen	amont
par	PRE	par
cettedite	DETind	cettoit
rue	NOMcom	rue
est	VERcjg	estre
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
madame	NOMcom	madame
saincte	ADJqua	saint
Anne	NOMpro	Anne
,	PONfbl	,
mere	NOMcom	mere
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
.	PONfrt	.

En	PRE	en
icelle	DETdem	cil
maison	NOMcom	maison
fut	VERcjg	être
née	VERppe	naître
la	DETdef	le
doulce	ADJqua	doux
vierge	NOMcom	vierge
Marie	NOMpro	Marie
;	PONfbl	;
si	ADVgen	si
n'	ADVneg	ne
y	PROadv	y
osent	VERcjg	oser
entrer	VERinf	entrer
nulz	DETind	nul
chrestiens	NOMcom	chrétien
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
ont	VERcjg	avoir
fait	VERppe	faire
les	DETdef	le
Sarrazins	NOMpro	Sarrasin
de	PRE	de
novel	ADJqua	novel
ung	DETndf	un
mustat	NOMcom	moutat
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
a	PRE	a
dire	VERinf	dire
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
ilz	PROper	il
font	VERcjg	faire
leurs	DETpos	leur
oroisons	NOMcom	oraison
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
alant	VERppa	aller
tousjours	ADVgen	toujours
contremonlt	ADVgen	contremont
d'	PRE	de
icelle	DETdem	cil
rue	NOMcom	rue
est	VERcjg	estre
la	DETdef	le
maison	NOMcom	maison
ou	PROrel	où
le	DETdef	le
roy	NOMcom	roi
Herodes	NOMpro	Hérode
demoroit	VERcjg	demeurer
,	PONfbl	,
et	CONcoo	et
la	ADVgen	là
fut	VERcjg	être
menez	VERppe	mener
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
au	PRE.DETdef	a
commandement	NOMcom	commandement
de	PRE	de
Pilate	NOMpro	Pilate
,	PONfbl	,
qui	PROrel	que
le	PROper	il
fist	VERcjg	faire
vestir	VERinf	vestir
de	PRE	de
robe	NOMcom	robe
blanche	ADJqua	blanc
comme	CONsub	comme
cellui	PROdem	celui
qu'	PROrel	que
il	PROper	il
reputtoit	VERcjg	réputer
pour	PRE	pour
fol	ADJqua	fol
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
au	PRE.DETdef	a
dehors	ADVgen	defors
de	PRE	de
la	DETdef	le
saincte	ADJqua	saint
cité	NOMcom	cité
a	PRE	a
issir	VERinf	issir
par	PRE	par
icelle	DETdem	cil
mesme	ADJind	même
rue	NOMcom	rue
,	PONfbl	,
en	PRE	en
alant	VERppa	aller
celluy	DETdem	cil
chemin	NOMcom	chemin
,	PONfbl	,
a	PRE	a
destre	ADJqua	destre
partie	NOMcom	partie
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
que	PROrel	que
l'en	PROind	loin
appelle	VERcjg	appeler
en	PRE	en
l'	DETdef	le
Euvangile	NOMpro	euvangile
probatica	ADJqua	probatia
piscina	NOMcom	piscine
,	PONfbl	,
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
guery	VERcjg	guérir
celuy	PROdem	cel
qui	PROrel	que
languissoit	VERcjg	languir
,	PONfbl	,
en	PRE	en
disant	VERppa	dire
:	PONfbl	:
Tolle	ETR	Tole
grabatum	VERcjg	grabattre
tuum	ETR	TUUS
et	CONcoo	et
ambula	VERcjg	embuler
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
au	PRE.DETdef	a
partir	VERinf	partir
d'	PRE	de
icellui	DETdem	cil
lieu	NOMcom	lieu
en	PRE	en
descendant	VERppa	descendre
oultre	ADVgen	outre
,	PONfbl	,
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
saint	ADJqua	saint
Estienne	NOMpro	Etienne
fut	VERcjg	être
lappidez	VERppe	lappider
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
la	DETdef	le
place	NOMcom	place
toute	ADVgen	tout
de	PRE	de
roches	NOMcom	roche
;	PONfbl	;
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
une	DETndf	un
roche	NOMcom	roche
plus	ADVgen	plus
haulte	ADJqua	haut
que	CONsub	que
les	DETdef	le
aultres	PROind	autre
,	PONfbl	,
sur	PRE	sur
laquelle	PROrel	lequel
se	PROper	soi
seoit	VERcjg	sëoir
saint	ADJqua	saint
Pol	NOMpro	Paul
l'	DETdef	le
appostre	NOMcom	appostle
qui	PROrel	que
les	DETdef	le
vestemens	NOMcom	vêtement
des	PRE.DETdef	de.le
tirans	NOMcom	tyran
gardoit	VERcjg	garder
cependent	ADVgen	cepend
qu'	CONsub	que
ilz	PROper	il
lappidoient	VERcjg	lappirer
saint	ADJqua	saint
Estienne	NOMpro	Etienne
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
tout	ADVgen	tout
près	ADVgen	près
de	PRE	de
la	ADVgen	là
,	PONfbl	,
en	PRE	en
descendant	VERppa	descendre
bas	ADVgen	bas
a	PRE	a
destre	ADJqua	destre
partie	NOMcom	partie
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
l'en	PROind	loin
dit	VERcjg	dire
que	CONsub	que
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
fustz	NOMcom	fout
de	PRE	de
la	DETdef	le
vraye	ADJqua	vrai
Croix	NOMcom	croix
fut	VERcjg	être
prins	VERppe	prendre
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
le	DETdef	le
fust	NOMcom	fust
qui	PROrel	que
aloit	VERcjg	aler
du	PRE.DETdef	de.le
long	NOMcom	loin
de	PRE	de
la	DETdef	le
croix	NOMcom	croix
;	PONfbl	;
et	CONcoo	et
estoit	VERcjg	estre
mise	VERppe	metre
celle	DETdem	cil
piece	NOMcom	piece
de	PRE	de
bois	NOMcom	bois
en	PRE	en
ce	DETdem	ce
lieu	NOMcom	lieu
pour	PRE	pour
planche	NOMcom	planche
a	PRE	a
passer	VERinf	passer
ung	DETndf	un
petit	ADJqua	petit
ruissel	NOMcom	ruisseau
qui	PROrel	que
est	VERcjg	estre
appellés	VERppe	appeler
Cedron	NOMpro	Cedor
.	PONfrt	.

Cette	DETdem	cett
vallée	NOMcom	valeré
est	VERcjg	estre
nommée	VERppe	nommer
en	PRE	en
la	DETdef	le
Saincte	ADJqua	saint
Escripture	NOMcom	écriture
le	DETdef	le
val	NOMcom	val
de	PRE	de
Jesaphat	NOMpro	Jesaphat
,	PONfbl	,
qui	PROrel	que
fait	VERcjg	faire
mencion	NOMcom	mention
que	CONsub	que
le	DETdef	le
general	ADJqua	général
jugement	NOMcom	jugement
y	PROadv	y
sera	VERcjg	estre
tenus	VERppe	tenir
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
alant	VERppa	aller
oultre	ADVgen	outre
a	PRE	a
senestre	ADJqua	senestre
partie	NOMcom	partie
ung	DETndf	un
pou	PROind	peu
plus	ADVgen	plus
bas	ADJqua	bas
,	PONfbl	,
a	PRE	a
une	DETndf	un
belle	ADJqua	beau
fonteine	NOMcom	fontaine
en	PRE	en
une	DETndf	un
belle	ADJqua	beau
place	NOMcom	place
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
place	NOMcom	place
y	PROadv	y
a	VERcjg	avoir
une	DETndf	un
moult	ADVgen	moult
grante	ADJqua	grante
et	CONcoo	et
parfonde	ADJqua	parfont
volte	NOMcom	voute
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
.XLIIJ	PROcar	quarante-quatre
.	PONfrt	.

degrez	NOMcom	degré
a	PRE	a
descendre	VERinf	descendre
;	PONfbl	;
en	PRE	en
celle	DETdem	cil
volte	NOMcom	voute
a	VERcjg	avoir
tresnoble	ADJqua	transoble
lieu	NOMcom	lieu
et	CONcoo	et
devost	VERcjg	dévoloir
et	CONcoo	et
tresdigne	VERcjg	tresdignier
,	PONfbl	,
car	CONcoo	car
le	DETdef	le
sepulcre	NOMcom	sépulcre
de	PRE	de
la	DETdef	le
benoiste	ADJqua	benoît
vierge	NOMcom	vierge
Marie	NOMpro	Marie
y	PROadv	y
est	VERcjg	estre
enclos	VERppe	clop
dedens	PRE	dedans
une	DETndf	un
petite	ADJqua	petit
chappelle	NOMcom	chapelle
qui	PROrel	que
est	VERcjg	estre
a	PRE	a
destre	ADJqua	destre
main	NOMcom	main
en	PRE	en
devalant	VERppa	devaler
en	PRE	en
icelle	DETdem	cil
volte	NOMcom	voute
;	PONfbl	;
en	PRE	en
laquelle	DETrel	lequel
chappelle	NOMcom	chapelle
a	VERcjg	avoir
deux	DETcar	deux
huis	NOMcom	uis
bien	ADVgen	bien
petis	ADJqua	petit
.	PONfrt	.

Et	CONcoo	et
sachiés	VERcjg	savoir
que	CONsub	que
la	DETdef	le
dite	VERppe	dire
volte	NOMcom	voute
est	VERcjg	estre
bien	ADVgen	bien
voltée	VERppe	vouter
et	CONcoo	et
bien	ADVgen	bien
ouvrée	VERppe	oeuvrer
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
une	DETndf	un
bonne	ADJqua	bon
fonteine	NOMcom	fontaine
tout	ADVgen	tout
dedens	PRE	dedans
ycelle	DETdem	cil
volte	NOMcom	voute
dont	PROrel	dont
l'en	PROind	loin
boit	VERcjg	boivre
qui	PROrel	que
veult	VERcjg	vouloir
par	PRE	par
devocion	NOMcom	devocïon
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
y	PROadv	y
a	VERcjg	avoir
ung	DETndf	un
autel	NOMcom	autel
tout	ADVgen	tout
enmy	ADVgen	enmi
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
issir	VERinf	issir
hors	ADVgen	hors
d'	PRE	de
icelle	DETdem	cil
devoste	ADJqua	dévot
chappelle	NOMcom	chapelle
et	CONcoo	et
volte	NOMcom	voute
,	PONfbl	,
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
,	PONfbl	,
loing	ADVgen	loing
de	PRE	de
l'	DETdef	le
autre	PROind	autre
environ	PRE	environ
.XV	PROcar	quinze
.	PONfrt	.

ou	CONcoo	o
.XVJ	PROcar	seize
.	PONfrt	.

pas	ADVneg	pas
,	PONfbl	,
a	PRE	a
une	DETndf	un
volte	NOMcom	voute
assés	ADVgen	assez
obscure	ADJqua	obscur
en	PRE	en
laquelle	PROrel	lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
ora	VERcjg	orer
a	PRE	a
Dieu	NOMpro	Dieu
le	DETdef	le
Pere	NOMcom	père
par	PRE	par
trois	DETcar	trois
fois	NOMcom	fois
quant	CONsub	cant
il	PROper	il
dist	VERcjg	dire
:	PONfbl	:
Pater	VERinf	pater
,	PONfbl	,
sy	ADVgen	si
possibile	ADJqua	possible
est	VERcjg	estre
,	PONfbl	,
transseat	VERcjg	trenser
a	PRE	a
me	DETpos	mon
calix	NOMcom	calis
iste	ADJqua	iste
;	PONfbl	;
non	ADVneg	non
mea	VERcjg	mier
sed	CONsub	si
tua	DETpos	ton
volumptas	NOMcom	volonté
fiat	VERcjg	fier
.	PONfrt	.

Et	CONcoo	et
illec	ADVgen	illuec
mesmes	ADJind	même
sua	DETpos	son
goutes	NOMcom	goutte
de	PRE	de
sang	NOMcom	sang
en	PRE	en
terre	NOMcom	terre
pour	PRE	pour
la	DETdef	le
paour	NOMcom	peur
de	PRE	de
la	DETdef	le
mort	NOMcom	mort
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
ung	DETndf	un
pou	PROind	peu
dessus	ADVgen	dessus
au	PRE.DETdef	a
partir	VERinf	partir
d'	PRE	de
icellui	DETdem	cil
lieu	NOMcom	lieu
,	PONfbl	,
a	PRE	a
senestre	ADJqua	senestre
partie	NOMcom	partie
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
laissa	VERcjg	laisser
ses	DETpos	son
appostres	NOMcom	apôtre
quant	CONsub	cant
il	PROper	il
alla	VERcjg	aller
aorer	VERinf	aorer
au	PRE.DETdef	a
lieu	NOMcom	lieu
devant	ADVgen	devant
dit	VERppe	dire
;	PONfbl	;
et	CONcoo	et
illec	ADVgen	illuec
s'	PROper	soi
endormirent	VERcjg	endormir
les	DETdef	le
appostres	NOMcom	apôtre
et	CONcoo	et
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
leur	PROper	leur
dit	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Ne	ADVneg	ne
dormés	VERcjg	dormir
mye	ADVneg	mie
,	PONfbl	,
car	CONcoo	car
l'	DETdef	le
eure	NOMcom	heure
approche	VERcjg	aprochier
,	PONfbl	,
etc.	ETR	etc.
”	PONpdr	”
Item	ETR	item
,	PONfbl	,
ung	DETndf	un
pou	PROind	peu
plus	ADVgen	plus
oultre	ADVgen	outre
,	PONfbl	,
a	PRE	a
senestre	ADJqua	senestre
partie	NOMcom	partie
est	VERcjg	estre
Gessemany	NOMpro	Gessemani
;	PONfbl	;
illec	ADVgen	illuec
est	VERcjg	estre
le	DETdef	le
jardin	NOMcom	jardin
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
fut	VERcjg	être
prins	VERppe	prendre
quant	CONsub	cant
Judas	NOMpro	Judas
l'	PROper	il
ot	VERcjg	avoir
baisié	VERppe	baisier
a	PRE	a
heure	NOMcom	heure
de	PRE	de
minuit	NOMcom	minuit
,	PONfbl	,
a	PRE	a
glaives	NOMcom	glaive
et	CONcoo	et
lanternes	NOMcom	lanterne
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
celluy	DETdem	cil
jardin	NOMcom	jardin
a	PRE	a
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
boutz	NOMcom	bout
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
saint	ADJqua	saint
Pierre	NOMpro	Pierre
cospa	VERcjg	cosper
l'	DETdef	le
oreille	NOMcom	oreille
de	PRE	de
Malcus	NOMpro	Malcus
,	PONfbl	,
et	CONcoo	et
dist	VERcjg	dire
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
a	PRE	a
saint	ADJqua	saint
Pierre	NOMpro	Pierre
:	PONfbl	:
Mitte	NOMcom	mitie
gladium	NOMcom	glaidon
tuum	ETR	TUUS
in	ETR	in
vaginam	VERcjg	vaginer
,	PONfbl	,
etc.	ETR	etc.
Et	CONcoo	et
illec	ADVgen	illuec
mesmes	ADJind	même
fut	VERcjg	être
liez	ADJqua	lié
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
ung	DETndf	un
pou	PROind	peu
oultre	ADVgen	outre
en	PRE	en
montant	VERppa	monter
vers	PRE	vers
Galilée	NOMpro	Galilée
,	PONfbl	,
a	PRE	a
destre	ADJqua	destre
partie	NOMcom	partie
,	PONfbl	,
a	PRE	a
une	DETndf	un
grosse	ADJqua	gros
pierre	NOMcom	piere
sur	PRE	sur
laquelle	PROrel	lequel
avoit	VERcjg	avoir
Nostre	DETpos	notre
Dame	NOMcom	dame
acoustumé	VERppe	accoutumer
de	PRE	de
reposer	VERinf	reposer
,	PONfbl	,
quant	CONsub	cant
elle	PROper	elle
faisoit	VERcjg	faire
la	DETdef	le
saincte	ADJqua	saint
serche	NOMcom	serche
apprès	PRE	après
l'	DETdef	le
Assencion	NOMpro	Assansion
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
son	DETpos	son
chier	ADJqua	chier
enfant	NOMcom	enfant
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
tout	ADVgen	tout
près	ADVgen	près
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
senestre	ADJqua	senestre
partie	NOMcom	partie
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
Nostre	DETpos	notre
Dame	NOMcom	dame
laissa	VERcjg	laisser
cheoir	VERinf	chëoir
sa	DETpos	son
saincture	NOMcom	sainture
a	PRE	a
sainct	ADJqua	saint
Thomas	NOMpro	Tomas
quant	CONsub	cant
les	DETdef	le
sains	ADJqua	saint
Anges	NOMcom	ange
l'	PROper	il
emporterent	VERcjg	emporter
ou	PRE.DETdef	en.le
ciel	NOMcom	ciel
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
ung	DETndf	un
pou	PROind	peu
dessus	ADVgen	dessus
est	VERcjg	estre
la	DETdef	le
place	NOMcom	place
ou	PROrel	où
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
se	PROper	soi
arresta	VERcjg	arrêter
et	CONcoo	et
ploura	VERcjg	pleurer
trois	DETcar	trois
goutes	NOMcom	goutte
de	PRE	de
sang	NOMcom	sang
et	CONcoo	et
plus	ADVgen	plus
sur	PRE	sur
la	DETdef	le
cité	NOMcom	cité
de	PRE	de
Jherusalem	NOMpro	Jérusalem
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
dit	VERcjg	dire
:	PONfbl	:
Quia	PROrel	que
si	ADVgen	si
cognovisses	VERcjg	connaître
et	CONcoo	et
tu	PROper	tu
,	PONfbl	,
etc.	ETR	etc.
Item	ETR	item
,	PONfbl	,
en	PRE	en
montant	VERppa	monter
amonlt	ADVgen	amont
vers	PRE	vers
Galilée	NOMpro	Galilée
,	PONfbl	,
a	PRE	a
la	DETdef	le
senestre	ADJqua	senestre
partie	NOMcom	partie
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
les	DETdef	le
anges	NOMcom	ange
apporterent	VERcjg	apporter
a	PRE	a
la	DETdef	le
doulce	ADJqua	doux
vierge	NOMcom	vierge
Marie	NOMpro	Marie
la	DETdef	le
palme	NOMcom	palme
,	PONfbl	,
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
son	DETpos	son
Assumption	NOMcom	assomption
,	PONfbl	,
en	PRE	en
signe	NOMcom	signe
son	DETpos	son
trespassement	NOMcom	trépassement
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
pou	ADVgen	peu
plus	ADVgen	plus
oultre	ADVgen	outre
en	PRE	en
alant	VERppa	aller
ou	PRE.DETdef	en.le
monlt	NOMcom	mondel
de	PRE	de
Galilée	NOMpro	Galilée
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Dame	NOMcom	dame
commança	VERcjg	commencer
a	PRE	a
faire	VERinf	faire
penitence	NOMcom	pénitence
.	PONfrt	.

Sur	PRE	sur
ledit	DETcom	ledit
monlt	NOMcom	mondel
de	PRE	de
Galilée	NOMpro	Galilée
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
se	PROper	soi
apparut	VERcjg	apparoir
a	PRE	a
ses	DETpos	son
appostres	NOMcom	apôtre
apprès	PRE	après
sa	DETpos	son
Resurrection	NOMcom	résurrection
.	PONfrt	.

Dessus	PRE	dessus
cedit	DETdem	cedit
monlt	NOMcom	mondel
de	PRE	de
Galilée	NOMpro	Galilée
voit	VERcjg	vëoir
l'en	PROind	loin
tout	ADVgen	tout
a	PRE	a
plain	ADJqua	plein
le	DETdef	le
temple	NOMcom	temple
de	PRE	de
Dieu	NOMpro	Dieu
et	CONcoo	et
de	PRE	de
Salomon	NOMpro	Salomon
,	PONfbl	,
ou	PROrel	où
il	PROper	il
a	VERcjg	avoir
bien	ADVgen	bien
,	PONfbl	,
tous	DETind	tous
temps	NOMcom	temps
,	PONfbl	,
.XIIm	PROcar	douze
.	PONfrt	.

lampes	NOMcom	lampe
ardans	VERppa	ardre
,	PONfbl	,
et	CONcoo	et
a	PRE	a
tous	DETind	tous
les	DETdef	le
jours	NOMcom	jour
que	PROrel	que
les	DETdef	le
Sarrazins	NOMpro	Sarrasin
font	VERcjg	faire
feste	NOMcom	fête
il	PROimp	il
en	PROadv	en
y	PROadv	y
a	VERcjg	avoir
bien	ADVgen	bien
.XLm	PROcar	quarante
.	PONfrt	.

ardans	VERppa	ardre
;	PONfbl	;
ainsi	ADVgen	ainsi
le	PROper	il
nous	PROper	nous
distrent	VERcjg	dire
et	CONcoo	et
affermerent	VERcjg	affermer
nos	DETpos	notre
druchemens	NOMcom	druchement
pour	PRE	pour
verité	NOMcom	verité
.	PONfrt	.

Et	CONcoo	et
dessus	PRE	dessus
ledit	DETcom	ledit
mont	NOMcom	monde
de	PRE	de
Galilée	NOMpro	Galilée
adore	VERcjg	adorer
l'en	PROind	loin
.XXXIJ	PROcar	trente-deux
.	PONfrt	.

sainctes	ADJqua	saint
places	NOMcom	place
ou	CONcoo	o
plus	ADVgen	plus
qui	PROrel	que
sont	VERcjg	estre
en	PRE	en
Jherusalem	NOMpro	Jérusalem
et	CONcoo	et
en	PRE	en
viron	NOMcom	viron
,	PONfbl	,
esquelles	PRE.PROrel	en.lequel
nul	DETind	nul
chrestien	NOMcom	chrétien
ne	ADVneg	ne
ose	VERcjg	oser
aler	VERinf	aler
pour	PRE	pour
les	DETdef	le
Sarrazins	NOMpro	Sarrasin
;	PONfbl	;
et	CONcoo	et
,	PONfbl	,
non	ADVneg	non
obstant	VERppa	obster
ce	PROdem	ce
,	PONfbl	,
dit	VERcjg	dire
on	PROind	on
que	CONsub	que
l'en	PROind	loin
y	PROadv	y
gangne	VERcjg	gangier
les	DETdef	le
pardons	NOMcom	pardon
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
dudit	PRE.DETcom	de.ledit
mont	NOMcom	monde
de	PRE	de
Galilée	NOMpro	Galilée
nous	PROper	nous
mena	VERcjg	mener
ledit	DETcom	ledit
gardien	NOMcom	gardin
ou	PRE.DETdef	en.le
monlt	NOMcom	mondel
ou	PROrel	où
il	PROimp	il
y	PROadv	y
a	VERcjg	avoir
ung	DETndf	un
tresbel	ADJqua	tresbel
lieu	NOMcom	lieu
fait	VERppe	faire
a	PRE	a
maniere	NOMcom	manière
d'	PRE	de
une	DETndf	un
grande	ADJqua	grand
chappelle	NOMcom	chapelle
,	PONfbl	,
et	CONcoo	et
semble	VERcjg	sembler
par	PRE	par
dehors	ADVgen	defors
estre	VERinf	estre
ung	DETndf	un
viel	ADJqua	vieux
chastel	NOMcom	chastel
mal	ADVgen	mal
retenu	VERppe	retenir
.	PONfrt	.

Ou	PRE.DETdef	en.le
milieu	NOMcom	milieu
de	PRE	de
celle	DETdem	cil
chappelle	NOMcom	chapelle
,	PONfbl	,
a	VERcjg	avoir
une	DETndf	un
petite	ADJqua	petit
chappelle	NOMcom	chapelle
ronde	ADJqua	rond
faicte	VERppe	faire
a	PRE	a
volte	NOMcom	voute
de	PRE	de
pierre	NOMcom	piere
,	PONfbl	,
et	CONcoo	et
droit	NOMcom	droit
ou	PRE.DETdef	en.le
milieu	NOMcom	milieu
du	PRE.DETdef	de.le
pavement	NOMcom	pavement
d'	PRE	de
icelle	DETdem	cil
chappelle	NOMcom	chapelle
,	PONfbl	,
en	PRE	en
une	DETndf	un
pierre	NOMcom	piere
quarrée	ADJqua	carré
de	PRE	de
marbre	NOMcom	marbre
,	PONfbl	,
est	VERcjg	estre
l'	DETdef	le
impression	NOMcom	impression
du	PRE.DETdef	de.le
benoist	ADJqua	benoist
pié	NOMcom	pié
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
qu'	PROrel	que
il	PROper	il
y	PROadv	y
fist	VERcjg	faire
de	PRE	de
son	DETpos	son
digne	ADJqua	digne
pié	NOMcom	pié
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
monta	VERcjg	monter
es	PRE.DETdef	en.le
Cieulx	NOMcom	ciel
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
l'	DETdef	le
Assencion	NOMpro	Assansion
;	PONfbl	;
et	CONcoo	et
est	VERcjg	estre
le	DETdef	le
pertuis	NOMcom	pertuis
tout	ADVgen	tout
ront	VERcjg	rompre
illec	ADVgen	illuec
en	PRE	en
ladite	DETcom	ledit
volte	NOMcom	voute
de	PRE	de
pierre	NOMcom	piere
.	PONfrt	.

Et	CONcoo	et
darrier	PRE	darrier
la	DETdef	le
chappelle	NOMcom	chapelle
est	VERcjg	estre
l'	DETdef	le
autre	ADJind	autre
pierre	NOMcom	piere
ou	PROrel	où
l'	DETdef	le
autre	ADJind	autre
pié	NOMcom	pié
senestre	ADJqua	senestre
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
est	VERcjg	estre
descript	VERppe	décrire
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
ung	DETndf	un
peu	PROind	peu
au	PRE.DETdef	a
dessoubz	NOMcom	dessous
du	PRE.DETdef	de.le
mont	NOMcom	monde
d'	PRE	de
Olivet	NOMpro	Olivier
,	PONfbl	,
a	PRE	a
la	DETdef	le
main	NOMcom	main
destre	ADJqua	destre
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
les	DETdef	le
appostres	NOMcom	apôtre
firent	VERcjg	faire
le	DETdef	le
Credo	NOMpro	Crédo
;	PONfbl	;
et	CONcoo	et
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
moult	ADVgen	moult
désolés	VERppe	désouler
.	PONfrt	.

