Comment	ADVsub	comment
avoient	VERcjg	avoir
beau	ADJqua	beau
rire	VERinf	rire
et	CONcoo	et
qu'	CONsub	que
ilz	PROper	il
avoient	VERcjg	avoir
gaigné	VERppe	gagner
le	DETdef	le
jeu	NOMcom	jeu
.	PONfrt	.

Ainsi	ADVgen	ainsi
passa	VERcjg	passer
le	DETdef	le
soupper	NOMcom	sopper
et	CONcoo	et
la	PROper	il
serée	VERcjg	serier
joyeusement	ADVgen	joyeusement
entre	PRE	entre
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
et	CONcoo	et
la	DETdef	le
compaignie	NOMcom	compagnie
qui	PROrel	que
là	ADVgen	là
estoit	VERcjg	estre
.	PONfrt	.

Puis	PRE	puis
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
se	PROper	soi
esjouit	VERcjg	éjouir
et	CONcoo	et
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
C'	PROdem	ce
est	VERcjg	estre
joyeuse	ADJqua	joyeux
chose	NOMcom	chose
que	CONsub	que
la	DETdef	le
guerre	NOMcom	guerre
;	PONfbl	;
on	PROind	on
y	PROadv	y
oït	VERcjg	ouïr
,	PONfbl	,
on	PROind	on
y	PROadv	y
voit	VERcjg	vëoir
beaucoup	ADVgen	beaucoup
de	PRE	de
bonnes	ADJqua	bon
choses	NOMcom	chose
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
apprent	VERcjg	apprendre
moult	ADVgen	moult
de	PRE	de
bien	NOMcom	bien
.	PONfrt	.

Quant	CONsub	quand
elle	PROper	elle
est	VERcjg	estre
en	PRE	en
bonne	ADJqua	bon
querelle	NOMcom	querelle
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
justice	NOMcom	justice
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
deffendre	VERinf	défendre
droicture	NOMcom	droicture
.	PONfrt	.

Et	CONcoo	et
croy	VERcjg	croire
que	CONsub	que
Dieu	NOMpro	Dieu
ayme	VERcjg	aimer
bien	ADVgen	bien
ceulx	PROdem	celui
qui	PROrel	que
exposent	VERcjg	exposer
leur	DETpos	leur
corps	NOMcom	corps
à	PRE	à
vouloir	VERinf	vouloir
faire	VERinf	faire
la	DETdef	le
guerre	NOMcom	guerre
et	CONcoo	et
faire	VERinf	faire
la	DETdef	le
raison	NOMcom	raison
aux	PRE.DETdef	à.le
ingratz	NOMcom	ingrat
et	CONcoo	et
descongneuz	VERppe	desconnaître
,	PONfbl	,
aux	PRE.DETdef	à.le
prosternés	ADJqua	prosterné
et	CONcoo	et
orgueilleux	ADJqua	orgueilleux
,	PONfbl	,
et	CONcoo	et
qui	PROrel	que
vont	VERcjg	aler
contre	PRE	contre
bonne	ADJqua	bon
equité	NOMcom	equité
.	PONfrt	.

Ceulx	PROdem	celui
qui	PROrel	que
se	PROper	soi
peinent	VERcjg	peiner
de	PRE	de
les	PROper	il
reprimer	VERinf	reprimer
sont	VERcjg	estre
à	PRE	à
louer	VERinf	louer
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
quant	CONsub	cant
la	DETdef	le
guerre	NOMcom	guerre
prent	VERcjg	prendre
en	PRE	en
cest	DETdem	cest
entendement	NOMcom	entendement
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
ung	DETndf	un
plaisant	VERppa	plaire
mestier	NOMcom	mestier
et	CONcoo	et
bon	ADJqua	bon
à	PRE	à
jeunes	ADJqua	jeune
gens	NOMcom	gens
.	PONfrt	.

Car	CONcoo	car
ilz	PROper	il
en	PROadv	en
sont	VERcjg	estre
amez	VERppe	amer
de	PRE	de
Dieu	NOMpro	Dieu
et	CONcoo	et
du	PRE.DETdef	de.le
monde	NOMcom	monde
.	PONfrt	.

On	PROind	on
s'	PROper	soi
entrayme	VERcjg	entraimer
tant	ADVgen	tant
à	PRE	à
la	DETdef	le
guerre	NOMcom	guerre
.	PONfrt	.

On	PROind	on
pense	VERcjg	penser
en	PRE	en
soy	PROper	soi
”	PONpdr	”
“	PONpga	“
meismes	ADJind	même
:	PONfbl	:
Laisseray	VERcjg	laisser
”	PONpdr	”
“	PONpga	“
je	PROper	je
ad	VERcjg	avoir
ce	PROdem	ce
tirant	VERppa	tirer
oster	VERinf	oster
par	PRE	par
sa	DETpos	son
cruauté	NOMcom	cruauté
le	DETdef	le
bien	NOMcom	bien
d'	PRE	de
autruy	PROind	autre
,	PONfbl	,
où	PROrel	où
il	PROimp	il
n'	ADVneg	ne
a	VERcjg	avoir
riens	PROind	rien
.	PONfrt	.

Quant	CONsub	quand
on	PROind	on
voit	VERcjg	vëoir
sa	DETpos	son
querelle	NOMcom	querelle
bonne	ADJqua	bon
et	CONcoo	et
son	DETpos	son
sang	NOMcom	sang
bien	ADVgen	bien
combatre	VERinf	combattre
,	PONfbl	,
la	DETdef	le
larme	NOMcom	larme
en	PROadv	en
vient	VERcjg	venir
à	PRE	à
l'	DETdef	le
ueil	NOMcom	œil
.	PONfrt	.

Il	PROper	il
vient	VERcjg	venir
une	DETndf	un
doulceur	NOMcom	douceur
au	PRE.DETdef	a
cueur	NOMcom	cueur
de	PRE	de
loyaulté	NOMcom	loyauté
et	CONcoo	et
de	PRE	de
pitié	NOMcom	pitié
de	PRE	de
veoir	VERinf	vëoir
son	DETpos	son
amy	NOMcom	ami
,	PONfbl	,
qui	PROrel	que
si	ADVgen	si
vaillamment	ADVgen	vaillamment
expose	VERcjg	exposer
son	DETpos	son
corps	NOMcom	corps
pour	PRE	pour
faire	VERinf	faire
et	CONcoo	et
acomplir	VERinf	accomplir
le	DETdef	le
commandement	NOMcom	commandement
de	PRE	de
nostre	DETpos	notre
Createur	NOMcom	créateur
.	PONfrt	.

Et	CONcoo	et
puis	ADVgen	puis
on	PROind	on
se	PROper	soi
dispose	VERcjg	disposer
d'	PRE	de
aller	VERinf	aller
mourir	VERinf	mourir
ou	CONcoo	o
vivre	VERinf	vivre
avec	PRE	avec
luy	PROper	lui
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
amour	NOMcom	amour
ne	ADVneg	ne
l'	PROper	il
abandonner	VERinf	abandonner
point	ADVneg	point
.	PONfrt	.

En	PRE	en
cela	PROdem	cel
vient	VERcjg	venir
une	DETndf	un
delectacion	NOMcom	délectation
telle	ADJind	tel
que	CONsub	que
,	PONfbl	,
qui	PROrel	que
ne	ADVneg	ne
l'	PROper	il
a	VERcjg	avoir
essaiée	VERppe	essaiier
,	PONfbl	,
il	PROimp	il
n'	ADVneg	ne
est	VERcjg	estre
homme	NOMcom	homme
qui	PROrel	que
sceust	VERcjg	savoir
dire	VERinf	dire
quel	DETrel	quel
bien	NOMcom	bien
c'	PROdem	ce
est	VERcjg	estre
.	PONfrt	.

Pensez	VERcjg	penser
”	PONpdr	”
“	PONpga	“
vous	PROper	vous
que	CONsub	que
homme	NOMcom	homme
qui	PROrel	que
face	VERcjg	faire
cela	PROdem	cel
craingne	VERcjg	craindre
la	DETdef	le
mort	NOMcom	mort
?	PONfrt	?

Nennil	ADVneg	nennil
;	PONfbl	;
car	CONcoo	car
il	PROper	il
est	VERcjg	estre
tant	ADVgen	tant
reconforté	VERppe	reconforter
,	PONfbl	,
il	PROper	il
est	VERcjg	estre
si	ADVgen	si
ravi	VERppe	ravir
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
scet	VERcjg	savoir
où	PROrel	où
il	PROper	il
est	VERcjg	estre
.	PONfrt	.

Vraiement	ADVgen	vraiment
il	PROper	il
n'	ADVneg	ne
a	VERcjg	avoir
paour	NOMcom	peur
de	PRE	de
rien	PROind	rien
.	PONfrt	.

Je	PROper	je
croy	VERcjg	croire
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
bienheureux	ADJqua	bienheureux
en	PRE	en
cest	DETdem	cest
monde	NOMcom	monde
et	CONcoo	et
en	PRE	en
l'	DETdef	le
autre	PROind	autre
,	PONfbl	,
qui	PROrel	que
sert	VERcjg	servir
les	DETdef	le
armes	NOMcom	arme
en	PRE	en
ceste	DETdem	cest
oppinion	NOMcom	opinion
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
vray	ADJqua	vrai
commis	NOMcom	commit
de	PRE	de
Dieu	NOMpro	Dieu
.	PONfrt	.

Pour	PRE	pour
ce	PROdem	ce
,	PONfbl	,
je	PROper	je
vous	PROper	vous
pri	VERcjg	priier
tous	PROind	tous
,	PONfbl	,
mes	DETpos	mon
freres	NOMcom	frère
,	PONfbl	,
amys	NOMcom	ami
et	CONcoo	et
compaignons	NOMcom	compagnon
,	PONfbl	,
que	CONsub	que
vous	PROper	vous
ayez	VERcjg	avoir
ceste	DETdem	cest
voulenté	NOMcom	volonté
et	CONcoo	et
que	CONsub	que
jamaiz	ADVgen	jamais
en	PRE	en
guerre	NOMcom	guerre
vous	PROper	vous
n'	ADVneg	ne
aillez	VERcjg	aler
sur	PRE	sur
mauvaise	ADJqua	mauvais
querelle	NOMcom	querelle
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
vous	PROper	vous
ne	ADVneg	ne
exploictiez	VERcjg	exploitier
pas	ADVneg	pas
ce	DETdem	ce
don	PROrel	dont
de	PRE	de
grace	NOMcom	grâce
que	PROrel	que
Dieu	NOMpro	Dieu
vous	PROper	vous
a	VERcjg	avoir
donné	VERppe	donner
,	PONfbl	,
d'	PRE	de
estre	VERinf	estre
bons	ADJqua	bon
et	CONcoo	et
vaillans	ADJqua	vaillant
au	PRE.DETdef	a
service	NOMcom	service
du	PRE.DETdef	de.le
deable	NOMcom	diable
;	PONfbl	;
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
,	PONfbl	,
de	PRE	de
servir	VERinf	servir
gens	NOMcom	gens
en	PRE	en
mauvaise	ADJqua	mauvais
querelle	NOMcom	querelle
,	PONfbl	,
orgueilleux	ADJqua	orgueilleux
,	PONfbl	,
envieux	ADJqua	envieux
,	PONfbl	,
ne	CONcoo	ne
gens	NOMcom	gens
plains	ADJqua	plein
de	PRE	de
vengeance	NOMcom	vengeance
,	PONfbl	,
et	CONcoo	et
,	PONfbl	,
si	CONsub	si
Dieu	NOMpro	Dieu
plaist	VERcjg	plaire
,	PONfbl	,
nous	PROper	nous
acquerrons	VERcjg	acquérir
nostre	DETpos	notre
sauvement	NOMcom	sauvement
à	PRE	à
l'	DETdef	le
excercite	NOMcom	excercite
des	PRE.DETdef	de.le
armes	NOMcom	arme
aussi	ADVgen	aussi
bien	ADVgen	bien
comme	CONsub	comme
nous	PROper	nous
ferions	VERcjg	faire
à	PRE	à
estre	VERinf	estre
en	PRE	en
contemplacion	NOMcom	contemplation
et	CONcoo	et
à	PRE	à
ne	ADVneg	ne
mangier	VERinf	mangier
que	CONsub	que
racines	NOMcom	racine
.	PONfrt	.

Aussi	ADVgen	aussi
ceulx	PROdem	celui
à	PRE	à
qui	PROrel	que
Dieu	NOMpro	Dieu
fait	VERcjg	faire
la	DETdef	le
grace	NOMcom	grâce
d'	PRE	de
avoir	VERinf	avoir
bon	ADJqua	bon
corps	NOMcom	corps
,	PONfbl	,
le	PROper	il
doivent	VERcjg	devoir
bien	ADVgen	bien
abandonner	VERinf	abandonner
pour	PRE	pour
la	DETdef	le
foy	NOMcom	foi
de	PRE	de
Nostre	DETpos	notre
”	PONpdr	”
“	PONpga	“
Seigneur	NOMcom	seigneur
Jhesus	NOMpro	Jésus
”	PONpdr	”
“	PONpga	“
Christ	NOMcom	crist
et	CONcoo	et
pour	PRE	pour
soustenir	VERinf	soutenir
bonne	ADJqua	bon
querelle	NOMcom	querelle
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
à	PRE	à
boire	VERinf	boire
d'	PRE	de
autant	ADVgen	autant
et	CONcoo	et
faire	VERinf	faire
choses	NOMcom	chose
dissollues	ADJqua	dissould
et	CONcoo	et
desraisonnables	ADJqua	desraisonnable
ne	CONcoo	ne
excès	NOMcom	exce
sans	PRE	sans
cause	NOMcom	cause
,	PONfbl	,
dont	PROrel	dont
ilz	PROper	il
ne	ADVneg	ne
sont	VERcjg	estre
requiz	VERppe	requérir
et	CONcoo	et
ne	ADVneg	ne
prouffitent	VERcjg	profiter
à	PRE	à
eulx	PROper	eux
ne	CONcoo	ne
à	PRE	à
aultrui	PROind	autrui
,	PONfbl	,
sans	PRE	sans
avoir	VERinf	avoir
consideracion	NOMcom	considération
de	PRE	de
quelque	DETind	quel
bonne	ADJqua	bon
fin	NOMcom	fin
,	PONfbl	,
comme	CONsub	comme
ung	DETndf	un
cheval	NOMcom	cheval
ou	CONcoo	o
ung	DETndf	un
cerf	NOMcom	cerf
,	PONfbl	,
qui	PROrel	que
,	PONfbl	,
de	PRE	de
sa	DETpos	son
voulenté	NOMcom	volonté
,	PONfbl	,
saulte	NOMcom	saute
une	DETndf	un
haye	NOMcom	haie
ou	CONcoo	o
ung	DETndf	un
fossé	NOMcom	fossé
ou	CONcoo	o
rochier	NOMcom	rochier
là	ADVgen	là
où	PROrel	où
il	PROper	il
se	PROper	soi
met	VERcjg	metre
ung	DETndf	un
pal	NOMcom	pal
ou	CONcoo	o
ventre	NOMcom	ventre
ou	CONcoo	o
se	PROper	soi
romp	VERcjg	rompre
le	DETdef	le
col	NOMcom	col
et	CONcoo	et
les	DETdef	le
membres	NOMcom	membre
pour	PRE	pour
saillir	VERinf	salir
de	PRE	de
hault	ADJqua	haut
en	PRE	en
bas	NOMcom	bas
sans	PRE	sans
penser	VERinf	penser
le	DETdef	le
peril	NOMcom	peril
qui	PROrel	que
lui	PROper	il
en	PROadv	en
peult	VERcjg	pouvoir
advenir	VERinf	advenir
.	PONfrt	.

Pour	PRE	pour
ce	PROdem	ce
,	PONfbl	,
je	PROper	je
dy	VERcjg	dire
que	CONsub	que
cellui	PROdem	celui
qui	PROrel	que
exploicte	VERcjg	exploitier
son	DETpos	son
corps	NOMcom	corps
et	CONcoo	et
le	PROper	il
destruit	VERcjg	détruire
sans	PRE	sans
grant	ADJqua	grant
cause	NOMcom	cause
,	PONfbl	,
est	VERcjg	estre
pire	ADJqua	pejor
que	CONsub	que
une	DETndf	un
beste	NOMcom	beste
mue	ADJqua	mu
;	PONfbl	;
car	CONcoo	car
Dieu	NOMpro	Dieu
a	VERcjg	avoir
donné	VERppe	donner
aux	PRE.DETdef	à.le
hommes	NOMcom	homme
leur	DETpos	leur
sens	NOMcom	sens
de	PRE	de
nature	NOMcom	nature
pour	PRE	pour
l'	PROper	il
exploicter	VERinf	exploiter
en	PRE	en
bonnes	ADJqua	bon
euvres	NOMcom	oeuvre
;	PONfbl	;
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
:	PONfbl	:
à	PRE	à
ceulx	PROdem	celui
qui	PROrel	que
sont	VERcjg	estre
en	PRE	en
religion	NOMcom	religion
,	PONfbl	,
pour	PRE	pour
adorer	VERinf	adorer
nostre	DETpos	notre
Createur	NOMcom	créateur
et	CONcoo	et
prier	VERinf	priier
pour	PRE	pour
tout	DETind	tout
le	DETdef	le
monde	NOMcom	monde
;	PONfbl	;
aux	PRE.DETdef	à.le
aultres	PROind	autre
,	PONfbl	,
pour	PRE	pour
labourer	VERinf	labourer
et	CONcoo	et
faire	VERinf	faire
venir	VERinf	venir
les	DETdef	le
biens	NOMcom	bien
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
,	PONfbl	,
de	PRE	de
quoy	PROrel	quoi
eux	PROper	eux
et	CONcoo	et
les	DETdef	le
autres	PROind	autre
puissent	VERcjg	pöoir
vivre	VERinf	vivre
;	PONfbl	;
et	CONcoo	et
aux	PRE.DETdef	à.le
gens	NOMcom	gens
de	PRE	de
guerre	NOMcom	guerre
est	VERcjg	estre
ordonnée	VERppe	ordonner
la	DETdef	le
deffence	NOMcom	défense
des	PRE.DETdef	de.le
orateurs	NOMcom	orateur
et	CONcoo	et
des	PRE.DETdef	de.le
laboureurs	NOMcom	laboureur
de	PRE	de
toute	DETind	tout
la	DETdef	le
chose	NOMcom	chose
publique	ADJqua	publique
et	CONcoo	et
de	PRE	de
ceulx	PROdem	celui
à	PRE	à
qui	PROrel	que
on	PROind	on
fait	VERcjg	faire
tort	NOMcom	tort
;	PONfbl	;
en	PRE	en
quoy	PROrel	quoi
ilz	PROper	il
doivent	VERcjg	devoir
employer	VERinf	employer
leurs	DETpos	leur
forces	NOMcom	force
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
en	PRE	en
euvres	NOMcom	oeuvre
infructueuses	ADJqua	infroctueux
qui	PROrel	que
ne	ADVneg	ne
servent	VERcjg	servir
,	PONfbl	,
sinon	PRE	sinon
à	PRE	à
l'	DETdef	le
abreviacion	NOMcom	abreviacion
de	PRE	de
leur	DETpos	leur
vie	NOMcom	vie
.	PONfrt	.

Si	ADVgen	si
vous	PROper	vous
pri	VERcjg	priier
que	CONsub	que
vous	PROper	vous
ne	ADVneg	ne
exploictez	VERcjg	exploiter
pas	ADVneg	pas
voz	DETpos	vostre
corps	NOMcom	corps
en	PRE	en
telz	DETind	tel
exploictz	NOMcom	exploit
et	CONcoo	et
excès	NOMcom	exce
ne	CONcoo	ne
en	PRE	en
choses	NOMcom	chose
qui	PROrel	que
ne	ADVneg	ne
servent	VERcjg	servir
à	PRE	à
Dieu	NOMpro	Dieu
,	PONfbl	,
à	PRE	à
vostre	DETpos	vostre
proysine	NOMcom	proisine
,	PONfbl	,
à	PRE	à
la	DETdef	le
chose	NOMcom	chose
publicque	ADJqua	publicque
ou	CONcoo	o
à	PRE	à
vous	PROper	vous
”	PONpdr	”
“	PONpga	“
meismes	ADJind	même
.	PONfbl	.
”	PONpdr	”
Ainsi	ADVgen	ainsi
passa	VERcjg	passer
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
toute	DETind	tout
cette	DETdem	cet
vesprée	NOMcom	vêprée
,	PONfbl	,
luy	PROper	lui
et	CONcoo	et
ses	DETpos	son
compaignons	NOMcom	compagnon
.	PONfrt	.

Et	CONcoo	et
voulentiers	ADVgen	volontiers
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
estoit	VERcjg	estre
de	PRE	de
loisir	NOMcom	loisir
,	PONfbl	,
leur	PROper	leur
disoit	VERcjg	dire
tousjours	ADVgen	toujours
quelque	DETind	quel
bonne	ADJqua	bon
chose	NOMcom	chose
.	PONfrt	.

Cy	ADVgen	ci
fine	VERcjg	finer
le	DETdef	le
XIVe	ADJord	vingt-six
chappitre	NOMcom	chappitre
et	CONcoo	et
ensieut	VERcjg	ensuivre
le	DETdef	le
quinziesme	ADJord	quinzime
chappitre	NOMcom	chappitre
.	PONfrt	.

Comment	ADVsub	comment
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
,	PONfbl	,
pour	PRE	pour
sa	DETpos	son
grant	ADJqua	grant
renommée	NOMcom	renommée
,	PONfbl	,
fut	VERcjg	être
fait	VERppe	faire
lieutenant	NOMcom	lieutenant
du	PRE.DETdef	de.le
Roy	NOMcom	roi
à	PRE	à
Crathor	NOMpro	Crathor
et	CONcoo	et
en	PRE	en
tout	DETind	tout
le	DETdef	le
païs	NOMcom	päis
,	PONfbl	,
et	CONcoo	et
comment	ADVsub	comment
le	DETdef	le
Roy	NOMcom	roi
lui	PROper	il
envoya	VERcjg	envoyer
ses	DETpos	son
lettres	NOMcom	lettre
et	CONcoo	et
trois	DETcar	trois
hommes	NOMcom	homme
de	PRE	de
son	DETpos	son
Grant	ADJqua	grant
Conseil	NOMcom	conseil
,	PONfbl	,
dont	PROrel	dont
l'	DETdef	le
un	PROind	un
estoit	VERcjg	estre
nommé	VERppe	nommer
maistre	NOMcom	maître
Jehan	NOMpro	Jean
Bienassis	NOMpro	Bienassis
,	PONfbl	,
qui	PROrel	que
lui	PROper	il
remonstra	VERcjg	remontrer
plusieurs	DETind	plusieurs
belles	ADJqua	beau
doctrines	NOMcom	doctrine
touchant	VERppa	toucher
le	DETdef	le
fait	NOMcom	fait
de	PRE	de
la	DETdef	le
justice	NOMcom	justice
et	CONcoo	et
de	PRE	de
la	DETdef	le
police	NOMcom	police
du	PRE.DETdef	de.le
païs	NOMcom	päis
.	PONfrt	.

Le	DETdef	le
lendemain	NOMcom	lendemain
,	PONfbl	,
arriverent	VERcjg	arriver
trois	PROcar	trois
des	PRE.DETdef	de.le
gens	NOMcom	gens
de	PRE	de
l'	DETdef	le
hostel	NOMcom	hôtel
du	PRE.DETdef	de.le
Roy	NOMcom	roi
et	CONcoo	et
ses	DETpos	son
conseilliers	NOMcom	conseillier
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
:	PONfbl	:
ung	DETndf	un
maistre	NOMcom	maître
en	PRE	en
theologie	NOMcom	téologie
,	PONfbl	,
nommé	VERppe	nommer
maistre	NOMcom	maître
Nicolle	NOMpro	Nicolas
,	PONfbl	,
le	DETdef	le
sire	NOMcom	seignor
de	PRE	de
Chamblay	NOMpro	Chamblai
et	CONcoo	et
maistre	NOMcom	maître
Jehan	NOMpro	Jean
Bienassiz	NOMpro	Bienastiz
.	PONfrt	.

Lesquelx	PROrel	lequel
dirent	VERcjg	dire
au	PRE.DETdef	a
Jouvencel	NOMpro	Jouvenceau
qu'	CONsub	que
il	PROper	il
feist	VERcjg	faire
assembler	VERinf	assembler
,	PONfbl	,
le	DETdef	le
jour	NOMcom	jour
ensuivant	VERppa	ensuivre
au	PRE.DETdef	a
matin	NOMcom	matin
,	PONfbl	,
messeigneurs	NOMcom	messeigneur
de	PRE	de
l'	DETdef	le
Eglise	NOMcom	eglise
et	CONcoo	et
les	DETdef	le
plus	ADVgen	plus
nobles	ADJqua	noble
gens	NOMcom	gens
de	PRE	de
guerre	NOMcom	guerre
et	CONcoo	et
notables	ADJqua	noutable
qu'	PROrel	que
il	PROper	il
sceut	VERcjg	savoir
en	PRE	en
la	DETdef	le
place	NOMcom	place
,	PONfbl	,
aussi	ADVgen	aussi
des	PRE.DETdef	de.le
plus	ADVgen	plus
gens	NOMcom	gens
de	PRE	de
bien	NOMcom	bien
de	PRE	de
la	DETdef	le
ville	NOMcom	ville
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
ilz	PROper	il
lui	PROper	il
apportoient	VERcjg	apporter
des	PRE.DETdef	de.le
lettres	NOMcom	lettre
du	PRE.DETdef	de.le
Roy	NOMcom	roi
et	CONcoo	et
à	PRE	à
eulx	PROper	eux
aussi	ADVgen	aussi
et	CONcoo	et
à	PRE	à
tous	DETind	tous
les	DETdef	le
cappitaines	NOMcom	chapitaine
du	PRE.DETdef	de.le
pays	NOMcom	pays
,	PONfbl	,
mais	ADVgen	mais
qu'	CONsub	que
ilz	PROper	il
lui	PROper	il
vouloient	VERcjg	vouloir
baillier	VERinf	baillier
ces	DETdem	ce
lettres	NOMcom	lettre
et	CONcoo	et
parler	VERinf	parler
à	PRE	à
lui	PROper	il
en	PRE	en
la	DETdef	le
presence	NOMcom	présence
de	PRE	de
tous	PROind	tous
.	PONfrt	.

Ainsi	ADVgen	ainsi
le	PROper	il
fist	VERcjg	faire
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
lorsqu'ilz	NOMcom	lorceau
furent	VERcjg	estre
assemblez	VERppe	assembler
,	PONfbl	,
les	DETdef	le
trois	PROcar	trois
dessus	ADVgen	dessus
nommez	VERppe	nommer
presenterent	VERcjg	présenter
leurs	DETpos	leur
lettres	NOMcom	lettre
.	PONfrt	.

Et	CONcoo	et
dit	VERcjg	dire
le	DETdef	le
maistre	NOMcom	maître
en	PRE	en
theologie	NOMcom	téologie
:	PONfbl	:
“	PONpga	“
Monseigneur	NOMcom	monseigneur
le	DETdef	le
lieutenant	NOMcom	lieutenant
et	CONcoo	et
vous	PROper	vous
tous	DETind	tous
autres	PROind	autre
,	PONfbl	,
messeigneurs	NOMcom	messeigneur
,	PONfbl	,
le	DETdef	le
Roy	NOMcom	roi
vous	PROper	vous
salue	VERcjg	salüer
et	CONcoo	et
vous	PROper	vous
envoye	VERcjg	envoyer
ces	DETdem	ce
lettres	NOMcom	lettre
.	PONfrt	.

Il	PROper	il
a	VERcjg	avoir
chargié	VERppe	chargier
à	PRE	à
monseigneur	NOMcom	monseigneur
maistre	NOMcom	maître
Jehan	NOMpro	Jean
Bienassiz	VERcjg	bienner
vous	PROper	vous
exposer	VERinf	exposer
et	CONcoo	et
dire	VERinf	dire
aucune	DETind	aucun
chose	NOMcom	chose
de	PRE	de
par	PRE	par
lui	PROper	il
touchant	VERppa	toucher
la	DETdef	le
justice	NOMcom	justice
,	PONfbl	,
police	NOMcom	police
et	CONcoo	et
gouvernement	NOMcom	gouvernement
de	PRE	de
ce	DETdem	ce
payz	NOMcom	pay
,	PONfbl	,
et	CONcoo	et
veult	VERcjg	vouloir
qu'	CONsub	que
il	PROper	il
parle	VERcjg	parler
le	DETdef	le
premier	NOMcom	premier
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
homme	NOMcom	homme
de	PRE	de
justice	NOMcom	justice
,	PONfbl	,
et	CONcoo	et
Dieu	NOMpro	Dieu
veult	VERcjg	vouloir
que	CONsub	que
justice	NOMcom	justice
aille	VERcjg	aler
devant	ADVgen	devant
.	PONfrt	.

Car	CONcoo	car
,	PONfbl	,
sans	PRE	sans
ce	PROdem	ce
,	PONfbl	,
riens	PROind	rien
ne	ADVneg	ne
se	PROper	soi
peult	VERcjg	pouvoir
bien	ADVgen	bien
conduire	VERinf	conduire
,	PONfbl	,
soit	CONcoo	soit
en	PRE	en
paix	NOMcom	paix
,	PONfbl	,
soit	CONcoo	soit
en	PRE	en
guerre	NOMcom	guerre
.	PONfrt	.

Et	CONcoo	et
meismes	ADJind	même
les	DETdef	le
brigans	NOMcom	brigant
et	CONcoo	et
larrons	NOMcom	larron
,	PONfbl	,
qui	PROrel	que
sont	VERcjg	estre
ès	PRE.DETdef	en.le
boys	NOMcom	bois
,	PONfbl	,
ont	VERcjg	avoir
justice	NOMcom	justice
entreux	ADJqua	entreux
,	PONfbl	,
et	CONcoo	et
,	PONfbl	,
sans	PRE	sans
cela	PROdem	cel
,	PONfbl	,
ilz	PROper	il
ne	ADVneg	ne
se	PROper	soi
sauroient	VERcjg	savoir
bien	ADVgen	bien
conduire	VERinf	conduire
.	PONfrt	.

Et	CONcoo	et
aprez	ADVgen	après
,	PONfbl	,
monseigneur	NOMcom	monseigneur
de	PRE	de
Chamblay	NOMpro	Chamblai
vous	PROper	vous
parlera	VERcjg	parler
de	PRE	de
la	DETdef	le
guerre	NOMcom	guerre
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
ce	PROdem	ce
fait	VERcjg	faire
,	PONfbl	,
je	PROper	je
vous	PROper	vous
feray	VERcjg	faire
une	DETndf	un
petite	ADJqua	petit
collacion	NOMcom	colacïon
,	PONfbl	,
s'	CONsub	se
il	PROimp	il
vous	PROper	vous
plaist	VERcjg	plaire
.	PONfrt	.

Et	CONcoo	et
vous	PROper	vous
servirons	VERcjg	servir
chascun	PROind	chascun
de	PRE	de
sa	DETpos	son
vocacion	NOMcom	vocation
et	CONcoo	et
selon	PRE	selon
sa	DETpos	son
charge	NOMcom	charge
,	PONfbl	,
au	PRE.DETdef	a
mieulx	NOMcom	mieux
que	PROrel	que
pourrons	VERcjg	pouvoir
,	PONfbl	,
ainsi	ADVgen	ainsi
qu'	CONsub	que
il	PROper	il
nous	PROper	nous
a	VERcjg	avoir
esté	VERppe	être
commandé	VERppe	commander
.	PONfbl	.
”	PONpdr	”
Ainsi	ADVgen	ainsi
parla	VERcjg	parler
monseigneur	NOMcom	monseigneur
